nombre_sector,zona_basica_salud,Total_registros ,Poblacion,Tasa_100000
HUESCA,ALMUDEVAR,52,4298,1209.87
,AYERBE,11,1801,610.77
,BIESCAS-VALLE DE TENA,227,3381,6713.99
,BROTO,16,1123,1424.76
,GRAÑEN,64,4225,1514.79
,HECHO,3,1140,263.16
,HUESCA CAPITAL Nº 1 (PERPETUO SOCORRO),361,16540,2182.59
,HUESCA CAPITAL Nº 2 (SANTO GRIAL),193,21817,884.63
,HUESCA RURAL,53,6310,839.94
,JACA,176,13417,1311.77
,BERDUN,4,1109,360.69
,SABIÑANIGO,331,9406,3519.03
,SARIÑENA,102,7156,1425.38
,HUESCA CAPITAL Nº 3 (PIRINEOS),94,16415,572.65
Total HUESCA,,1687,108138,1560.04
BARBASTRO,ABIEGO,6,841,713.44
,AINSA,14,4382,319.49
,ALBALATE DE CINCA,26,4918,528.67
,BARBASTRO,200,21386,935.19
,BENABARRE,4,1954,204.71
,BERBEGAL,8,1301,614.91
,BINEFAR,437,12819,3409.00
,CASTEJON DE SOS,82,3729,2198.98
,FRAGA,140,20974,667.49
,GRAUS,71,5524,1285.30
,LAFORTUNADA,7,1041,672.43
,MONZON URBANA,230,17698,1299.58
,TAMARITE DE LITERA,77,6733,1143.62
,MONZON RURAL,38,3295,1153.26
,MEQUINENZA,10,2553,391.70
Total BARBASTRO,,1350,109148,1236.85
ZARAGOZA II,FUENTES DE EBRO,105,12375,848.48
,SASTAGO,40,2640,1515.15
,REBOLERIA,380,19504,1948.32
,INDEPENDENCIA,103,12573,819.22
,MADRE VEDRUNA-MIRAFLORES,162,19347,837.34
,ALMOZARA,284,21571,1316.58
,SAN PABLO,440,22336,1969.91
,TORRERO LA PAZ,432,26450,1633.27
,VENECIA,303,14055,2155.82
,SAGASTA-RUISEÑORES,621,37496,1656.18
,LAS FUENTES NORTE,406,22797,1780.94
,TORRE RAMONA,154,23090,666.96
,SAN JOSE NORTE,276,17116,1612.53
,SAN JOSE CENTRO,315,18232,1727.73
,SAN JOSE SUR,365,27279,1338.03
,ROMAREDA - SEMINARIO,142,16555,857.75
,CASABLANCA,175,10154,1723.46
,HERNAN CORTES,205,20677,991.44
,FERNANDO EL CATOLICO,151,19215,785.84
,VALDESPARTERA-MONTECANAL,561,33326,1683.37
,CAMPO DE BELCHITE,59,3274,1802.08
Total ZARAGOZA II,,5679,400062,1419.53
ZARAGOZA III,EJEA DE LOS CABALLEROS,95,17679,537.36
,SADABA,18,2771,649.58
,SOS DEL REY CATOLICO,8,726,1101.93
,TAUSTE,59,7878,748.92
,ALAGON,145,15688,924.27
,LA ALMUNIA DE DOÑA GODINA,83,16325,508.42
,BORJA,41,9582,427.89
,CASETAS,298,16145,1845.77
,EPILA,195,11035,1767.10
,GALLUR,61,7198,847.46
,TARAZONA,212,13075,1621.41
,UTEBO,268,18562,1443.81
,CARIÑENA,83,7749,1071.11
,HERRERA DE LOS NAVARROS,1,679,147.28
,MARIA DE HUERVA,351,22654,1549.40
,DELICIAS SUR,327,26198,1248.19
,DELICIAS NORTE,258,25039,1030.39
,BOMBARDA,318,15500,2051.61
,UNIVERSITAS,305,30361,1004.58
,OLIVER,100,15995,625.20
,VALDEFIERRO,162,11914,1359.74
,MIRALBUENO-GARRAPINILLOS,196,17413,1125.60
Total ZARAGOZA III,,3584,310166,1155.51
CALATAYUD,ALHAMA DE ARAGON,34,2820,1205.67
,ARIZA,16,1387,1153.57
,ATECA,11,2581,426.19
,CALATAYUD RURAL,16,4805,332.99
,DAROCA,33,3304,998.79
,ILLUECA,70,5174,1352.92
,MORATA DE JALON,11,1912,575.31
,VILLARROYA DE LA SIERRA,7,1398,500.72
,CALATAYUD URBANA,87,19280,451.24
,SABIÑAN,14,1616,866.34
Total CALATAYUD,,299,44277,675.29
TERUEL,ALBARRACIN,11,2902,379.05
,ALFAMBRA,17,1516,1121.37
,ALIAGA,3,848,353.77
,BAGUENA,0,739,0.00
,CALAMOCHA,53,5622,942.73
,CEDRILLAS,7,1106,632.91
,CELLA,53,3494,1516.89
,MONREAL DEL CAMPO,26,4412,589.30
,MORA DE RUBIELOS,18,2984,603.22
,MOSQUERUELA,3,915,327.87
,SANTA EULALIA DEL CAMPO,19,1471,1291.64
,SARRION,2,2298,87.03
,TERUEL CENTRO,147,19463,755.28
,UTRILLAS,92,5570,1651.71
,VILLEL,8,1073,745.57
,TERUEL ENSANCHE,243,18238,1332.38
Total TERUEL,,702,72651,966.26
ALCAÑIZ,ALCAÑIZ,204,18727,1089.34
,ALCORISA,17,4452,381.85
,ANDORRA,115,8699,1321.99
,CALACEITE,9,2601,346.02
,CALANDA,39,4181,932.79
,CANTAVIEJA,8,1701,470.31
,CASPE,66,10681,617.92
,MAELLA,27,3990,676.69
,HIJAR,65,5659,1148.61
,MAS DE LAS MATAS,18,2618,687.55
,MUNIESA,6,873,687.29
,VALDERROBRES,89,5008,1777.16
Total ALCAÑIZ,,663,69190,958.23
ZARAGOZA I,ALFAJARIN,80,10027,797.85
,BUJARALOZ,16,2737,584.58
,LUNA,3,1376,218.02
,VILLAMAYOR,20,4377,456.93
,ZUERA,112,16168,692.73
,ACTUR SUR,154,15002,1026.53
,ARRABAL,310,20311,1526.27
,AVENIDA CATALUÑA,569,33329,1707.22
,SANTA ISABEL,188,22170,847.99
,ZALFONADA,340,23477,1448.23
,ACTUR NORTE,235,18804,1249.73
,ACTUR OESTE,360,15567,2312.58
,PARQUE GOYA,185,14235,1299.61
Total ZARAGOZA I,,2572,197580,1301.75
Total ARAGÓN,,16536,1311212,1261.12
